Unnamed: 0,military_base_name,coordinates,longtitudes,latitudes,description,type,type_norm,tags
0,25th Separate Guards Motor Rifle Brigade,"29.81658718719094,58.74889541053387,0",29.81658718719094,58.74889541053387,"military unit 29760, Commander: Colonel Ivan Smerdov, (Т-72B, MT-LB, BTR-80, 2S1 Gvozdika, BM-21 Grad)",Garrison / Unit Base,garrison,[]
1,138th Separate Guards Motor Rifle Brigade,"29.10569314483713,60.44271348334123,0",29.10569314483713,60.44271348334123,"military unit 02511, Commander: Colonel Sergei Maksimov, (T-72B3, MT-LB, 2S3 Akatsiya, BM-21 Gtad, 9K332M Tor-M2U)",Garrison / Unit Base,garrison,"[""air_defense"", ""missile""]"
2,26th Missile Brigade,"29.80244393097845,58.74744623286711,0",29.80244393097845,58.74744623286711,"military unit 54006, (9K720 Iskander-M)",Missile Unit / Site,missile_base,"[""missile""]"
3,9th Guards Artillery Brigade,"29.83167308460646,58.68103229904996,0",29.83167308460646,58.68103229904996,"military unit 02561, (2S19 Msta-S, BM-27 Uragan, 9K114 Shturm)",Garrison / Unit Base,garrison,[]
4,/B 5th Anti-Aircraft Missile Brigade,"29.77389912035505,59.88951366031888,0",29.77389912035505,59.88951366031888,"military unit 74429, (9K331 Tor-M1)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
5,/B 5th Anti-Aircraft Missile Brigade,"29.30127571344309,59.96674190817853,0",29.30127571344309,59.96674190817853,"military unit 74429, (9K317 Buk-M2)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
6,/B 95th Command and Control Brigade,"30.11378512669923,59.77613390155582,0",30.11378512669923,59.77613390155582,military unit 13821,Garrison / Unit Base,garrison,"[""hq""]"
7,140th Guards Engineer-Sapper Regiment,"30.31720145579342,60.31817448032226,0",30.31720145579342,60.31817448032226,military unit 18437,Garrison / Unit Base,garrison,[]
8,51st Separate Logistics Brigade,"30.12321951879084,59.71625706906827,0",30.12321951879084,59.71625706906827,military unit 72152,Garrison / Unit Base,garrison,[]
9,67th Separate Automobile Battalion,"30.2168657641991,60.12736862011289,0",30.2168657641991,60.12736862011289,military unit 11255,Garrison / Unit Base,garrison,[]
10,6th NBC Protection Regiment,"29.95292054572463,60.71443914781586,0",29.95292054572463,60.71443914781586,military unit 12086,Garrison / Unit Base,garrison,[]
11,6th Combined Arms Army HQ,"30.27898370865489,60.2316217362867,0",30.27898370865489,60.2316217362867,military unit 31807,Garrison / Unit Base,garrison,"[""hq""]"
12,Separate Repair and Recovery Battalion,"33.38184476548184,69.06045750448125,0",33.38184476548184,69.06045750448125,military unit 49228,Garrison / Unit Base,garrison,[]
13,Engineer Battalion,"32.81872738312406,68.81340289824395,0",32.81872738312406,68.81340289824395,military unit 64358,Garrison / Unit Base,garrison,[]
14,n/a Separate Comunications Regiment,"33.09468562335866,68.95271193131576,0",33.09468562335866,68.95271193131576,military unit 57243,Garrison / Unit Base,garrison,[]
15,45th Separate Automobile Battalion,"33.11407239890308,69.01407153750301,0",33.11407239890308,69.01407153750301,military unit 20233,Garrison / Unit Base,garrison,[]
16,203rd Separate Maintenance and Technical Company,"52.3170472346308,71.54529929904481,0",52.3170472346308,71.54529929904481,military unit 77510,Garrison / Unit Base,garrison,[]
17,7022nd Repair and Storage Base,"32.36741545491756,67.18865791044928,0",32.36741545491756,67.18865791044928,military unit 71216,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
18,n/a Separate Engineer-Sapper Regiment,"33.10105365286491,68.89675901203418,0",33.10105365286491,68.89675901203418,military unit 67171,Garrison / Unit Base,garrison,[]
19,Murmansk BN EW System,"33.2902059947321,68.51539435076671,0",33.2902059947321,68.51539435076671,,Unknown,unknown,"[""electronic""]"
20,1st Tank Regiment,"36.9560186633077,55.54032629897123,0",36.9560186633077,55.54032629897123,"military unit 58190, (T-72B3, BMP-2, 2S1 Gvozdika)",Garrison / Unit Base,garrison,[]
21,1st Guards Motor Rifle Regiment,"36.96815598809418,55.54677540953207,0",36.96815598809418,55.54677540953207,"military unit 31135, (T-72B3, BTR-80/82A, 2S1 Gvozdika)",Garrison / Unit Base,garrison,[]
22,15th Guards Motor Rifle Regiment,"36.98442628471617,55.56181256176898,0",36.98442628471617,55.56181256176898,"military unit 31134, (T-72B3, BMP-2, 2S1 Gvozdika)",Garrison / Unit Base,garrison,[]
